,blue_alt,red_alt,angle_off,aspect_angle,Rmax
125,28764.782532209887,32401.523740803663,178.94210969448653,44.444613247120515,-20.0
126,18102.987320960605,33684.21450980113,20.937817041011556,-63.38757849564294,-15.0
127,42857.58109726276,20933.32804431542,179.60980140361949,14.890830493662392,-28.5
128,12195.44807020461,34291.22614309464,34.30449677169071,73.00205400446072,-13.5
129,13473.258107154083,18542.334230218406,-112.47200317911098,-55.83999016018571,-21.0
130,26294.995467657252,47750.1360971596,46.04762206584326,-17.01748363065323,-15.0
131,37613.9983147809,5922.889328892454,136.28471349290334,-47.41127623204229,-26.0
132,18827.881227528367,16464.31827501679,92.23298799983553,22.519517304077183,-24.0
133,7473.2780329039415,27331.059351287004,111.29471724426134,17.611519545130207,-18.5
134,38374.6675382137,15246.131055755353,141.56974798681063,74.87101571222018,-20.5
135,44213.35124967981,39645.92546768487,-57.73120803262236,-60.884515561630494,-20.0
136,19265.401881057383,28047.35053061709,165.03592394553647,-59.164377971213035,-17.5
137,11968.16778887783,25862.784631065086,16.927325575768293,22.722488357730725,-18.5
138,32517.196458304174,21929.485109663216,-54.647223053223016,57.335467320878195,-20.5
139,4528.0634615441195,15563.320251216279,100.71596497746543,-70.82014461562181,-16.0
140,14197.980342930156,5248.717370417135,-32.894850931797265,68.36040283770146,-20.0
141,37766.8456650487,32378.36055171029,90.25702074713712,-77.65200803732702,-16.0
142,34954.527174342584,27718.514451581097,11.626724632651275,29.296798332737154,-22.5
143,37000.6726595416,41262.967465456044,116.00857925646716,-10.287239001041343,-21.0
144,45746.44836886322,3982.651534447589,113.63664711301408,56.32537688563653,-28.0
145,15618.767429712694,47776.92433149435,143.38574978729469,-55.32865015939214,-10.0
146,31296.841496565336,10804.843227309555,-31.05999517548065,50.62869017269696,-23.5
147,14760.177590470968,24090.05158209001,-139.19128842307165,-76.2257096321112,-16.5
148,9269.417159435767,46984.09483958224,-157.3844239721057,75.3402637463486,-1.0
149,37517.20214833639,1753.7213329706851,75.06817138629134,44.799197655105075,-28.0
150,42089.02106856276,12444.415125855974,82.95348081965335,-87.96277264164266,-17.0
151,13415.760017318535,30671.08335614652,-84.99879555899076,-83.00886506559527,-16.0
152,15985.16398258201,15779.075825259839,-12.684625707865735,27.464344629023458,-22.0
153,10960.455948140776,9184.46868644813,-5.613925986183375,42.59442363599166,-21.5
154,34734.60153308613,34613.74835325588,-56.293926057399844,29.278041262140917,-20.5
155,40128.523774436166,21348.882861591028,-107.36417856725048,-48.0358547721254,-25.5
156,1809.7005008480314,35374.72090106709,-17.975915000437,-68.37815788292463,-9.5
