Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
150,723,638,44,0,-111,6049,6846,0.0,45.0
151,515,486,58,0,-173,12661,12981,0.0,45.0
152,519,658,-30,0,63,7864,6611,0.0,45.0
153,537,490,-17,0,152,11061,10639,0.0,45.0
154,529,479,-4,0,179,12365,12969,0.0,45.0
155,471,477,-56,0,44,8994,9151,0.0,45.0
156,731,724,-21,0,128,9758,11024,0.0,45.0
157,634,599,15,0,-111,7913,9355,0.0,45.0
158,620,632,-52,0,-47,11858,11533,0.0,45.0
159,628,736,-47,0,-51,10572,10590,0.0,45.0
160,610,687,-6,0,27,3034,2634,0.0,45.0
161,509,526,58,0,104,10420,9588,0.0,45.0
162,451,677,37,0,4,7351,6921,0.0,45.0
163,531,610,55,0,-84,11468,12562,0.0,45.0
164,515,475,-54,0,119,3073,3866,0.0,45.0
165,724,731,-41,0,-150,9722,9407,0.0,45.0
166,630,686,37,0,6,5347,4871,0.0,45.0
167,486,551,23,0,1,1451,2576,0.0,45.0
168,486,738,-29,0,46,13125,13818,0.0,45.0
169,571,743,19,0,-44,9392,10620,0.0,45.0
170,598,475,48,0,77,7353,8521,0.0,45.0
171,623,689,16,0,176,1219,1226,0.0,45.0
172,621,694,2,0,-36,9096,9569,0.0,45.0
173,450,641,-28,0,118,9837,10965,0.0,45.0
174,690,543,44,0,-63,6652,6915,0.0,45.0
175,614,590,-47,0,-6,2159,1007,0.0,45.0
176,504,581,-5,0,-60,3213,3923,0.0,45.0
177,539,452,4,0,103,5011,6110,0.0,45.0
178,532,625,13,0,-82,10002,11429,0.0,45.0
179,512,535,-20,0,-176,5898,6319,0.0,45.0
180,546,679,-53,0,124,13039,13477,0.0,45.0
181,740,518,-58,0,105,5132,5692,0.0,45.0
182,541,716,15,0,-127,2771,3285,0.0,45.0
183,609,745,-22,0,-156,6702,5862,0.0,45.0
184,671,658,17,0,111,10667,11759,0.0,45.0
185,458,465,50,0,118,3002,4335,0.0,45.0
186,591,657,-36,0,122,8674,9600,0.0,45.0
187,697,644,-30,0,-6,9153,8547,0.0,45.0
